""	"prix-unitaire"	"nom-du-produit"	"code-ean"
2285	4.708275266018627	"Federal student no call these. Yet side car hear. Someone onto include town option cause boy store."	"4176962190656"
885	7.153529165276009	"Study throw poor build marriage. You make send memory land. Into fire mouth think discussion security."	"7478151587528"
960	2.7732979047271105	"Son source beyond rate seem. Likely actually son top between trouble."	"0459071575090"
3366	15.365000855248873	"Always throw start image throughout run. Order know they low water."	"8753858567660"
1731	1.2136838338308946	"Term play age poor head your dream. Involve easy idea smile worker worker. Concern yeah worry find."	"8990215123590"
684	12.366497979979831	"Happen range effort television professional difference. Argue care kind floor Congress him score glass."	"1661681165069"
498	1.9305472767391894	"Low position week theory economy agent. Black civil memory explain car two simple happen. Light magazine respond race red hour possible."	"9322289652253"
4997	8.783507666716599	"War need late special. Production crime most join."	"6044733506228"
2737	2.5509616883776878	"Story boy long. Eye hour manage environmental language car leg. Home door fast wait."	"2369960054828"
1797	29.814249967658558	"Hair ready good help admit turn. Raise garden majority agreement under environment effect music."	"2072918939626"
4480	9.248213357855915	"Series paper line age property fire. Necessary animal whether now ago to."	"2113189183711"
4330	10.959843399007005	"Federal official note hit. Anyone ground watch east pattern six. Official blue risk play note others."	"6188519682451"
4516	11.244958676173319	"How run vote. Figure good success leave."	"9393274698143"
3279	16.055899560346322	"Machine institution question camera area subject."	"8628253280240"
2162	8.236515117823854	"Significant pick recognize such responsibility good. Improve price when key. Rather with never certainly close."	"9316678793368"
153	14.684829305899385	"Care before stuff low news any increase. Everything law personal. Read cup follow teacher couple."	"6740613782019"
1877	22.212515571974556	"Natural behavior sing culture every yet. Throughout for candidate conference test play you."	"3792081569435"
5353	14.792149778026337	"Item source suffer as begin interview. Behavior standard compare nice buy clearly catch."	"4022793587861"
5240	4.192924641032414	"Usually everything full if participant partner its. For notice director become prove may. Southern field kid whom."	"9334818761565"
4270	5.337345539160102	"Civil she lay bag decide music. Say thank physical maintain."	"0142958181605"
2741	3.960456419585948	"North many doctor girl gun."	"0457767643375"
4748	1.8722343375523613	"Subject first perhaps we behind. Game employee though key form cause now."	"7972444821547"
3045	7.95532466405079	"Role final left administration understand method. Five this thing. Lot else story song long."	"9809527229540"
2346	55.03892047783348	"General art behavior government test level. Camera create note quickly. Pull today race mouth answer."	"1656694853034"
4518	1.595079218253909	"Go process present question large. Court mention I its player seat million training. Meeting month charge cultural discuss. Learn boy light speech station southern."	"4810691950913"
3225	2.9877207276070474	"Night structure cost smile away financial. Resource gas character along. Along happy test."	"7027892671548"
596	4.635028060307044	"Test nice concern. Before get reflect."	"4679127094504"
784	20.554341105797583	"Lawyer herself language full above."	"5036648835471"
2391	3.510934063490873	"Spring finish himself black kid late lead. House edge let knowledge smile girl west."	"4828952489768"
4432	3.009259774867528	"Enter Republican able city food mention. Partner pay whether quality. Themselves serve various training."	"8980024212578"
2660	1.9496490137546219	"Effort sound apply. Born skin keep be yes. Trade treatment sing me history."	"8655161974244"
790	1.380542675545197	"Compare spring change another event. Important light relate customer explain. No capital record region maybe special worry box. Buy door since security keep firm."	"1450026644068"
742	1.5485392831521343	"Social reason source few institution American of."	"6025652761875"
2019	2.062095107050154	"Rock board top two audience. Section point wonder air floor draw do poor."	"7160693316130"
1760	6.888299540429639	"Present hand special understand. Training outside give low itself likely goal. Somebody agree we like public glass."	"3118027780533"
3733	6.792186667864344	"Economic court real strategy major culture nothing. Present itself vote attorney."	"9191734138433"
582	3.9976114238815446	"Tell free share reduce this. Month outside more left son it."	"8611434941559"
1188	7.521418498709144	"Back international single such later seat. Country least argue anything. Might throughout fear key."	"6511592155053"
1254	8.064509676429836	"Sit who news catch serve present. Summer hot animal would value force hard. Rather student some large car wait."	"2639336917188"
733	2.063996288345357	"One wind fund country. Action soon themselves."	"3044073811504"
5284	8.358896309638768	"Everyone fear than current their window ok single. Law building away. Movement list national pattern contain fire."	"5685423453692"
224	8.96031425423966	"Watch tough help feeling character some. Pull himself picture yard ago free foot material. Tell true middle foreign."	"9233864835698"
5301	29.73208976123703	"Structure nothing professor however. Allow enter mind trial necessary difficult dream. Live physical skill create attorney."	"7348974312310"
2483	19.78134947422917	"Office level writer space thus southern work. Section miss one recent today deep."	"1798061736653"
4112	3.6490243967154883	"Charge thought card career. Girl wear woman page rich special."	"3610767071891"
384	4.750152771720606	"Likely TV game effort suggest rate recent technology. Stock will occur seat somebody. You even into trade admit."	"6138605616860"
5044	22.518314454071454	"Scene it lay important. First herself plan program nation."	"4953363583467"
2986	12.952888337915441	"Partner simply most case enjoy. Candidate capital effect list analysis before whom citizen."	"5770833824979"
68	11.429375743369663	"Information social hour think what same game. Suffer in well can both approach movement trial."	"4406787256498"
439	13.353956822272583	"Bank policy main identify at ago positive. Everyone individual term economic fast where."	"8027038444936"
